Ward NO,Beds,area covered,Services,Staff,Contact,Sl No.,No of Applications,Total Collection (Amount in lakhs),Area (sq km)_x,Lakes #_x,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,Community bins/ compactor bins/ Dhalaos etc-Commercial Waste quantity (TPD),Community bins/ compactor bins/ Dhalaos etc-Size of bins/ containers (L),Community bins/ compactor bins/ Dhalaos etc-Year of purchase,Total no. of Households,Govt Schools #_x,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,State Code,HH condition - total,HH condition - Good,HH Condition - Livable,HH Condition - Dilapidated,HH Residence - total,HH Residence - Good,HH Residence - Livable,HH residence - dilapidated,HH residence-cum-other-use total,HH residence-cum-other-use Good,HH residence-cum-other-use Livable,HH residence-cum-other-use Dilapidated,Roof - Grass/ Thatch/ Bamboo/ Wood/Mud etc.,Roof - Plastic/ Polythene,Roof - Hand made Tiles,Roof - Machine made Tiles,Roof - Burnt Brick,Roof - Stone/ Slate,Roof - G.I./Metal/ Asbestos sheets,Roof - Concrete,Roof - Any other material,Wall - Grass/ Thatch/ Bamboo etc.,Wall - Plastic/ Polythene,Wall - Mud/Unburnt brick,Wall - Wood,Wall -Stone not packed with mortar,Wall - Stone packed with mortar,Wall -G.I./ Metal/ Asbestos sheets,Wall - Burnt brick,Wall - Concrete,Wall - Any other material,Floor - Mud,Floor - Wood/ Bamboo,Floor - Burnt Brick,Floor - Stone,Floor - Cement,Floor - Mosaic/ Floor tiles,Floor - Any other material,Dwelling rooms - No exclusive room,Dwelling rooms - One room,Dwelling rooms - Two rooms,Dwelling rooms - Three rooms,Dwelling rooms - Four rooms,Dwelling rooms - Five rooms,Dwelling rooms - Six rooms and above,HH Size - 1,HH Size - 2,HH Size - 3,HH Size - 4,HH Size - 5,HH Size - 6-8,HH Size - 9+,Ownership - Owned,Ownership -  Rented,Ownership -  Any others,Married Couple - None,Married Couple - 1,Married Couple - 2,Married Couple - 3,Married Couple - 4,Married Couple - 5+,Drinking Water - Tapwater from treated source,Drinking Water - Tapwater from un-treated source,Drinking Water - Covered well,Drinking Water - Un-covered well,Drinking Water - Handpump,Drinking Water - Tubewell/Borehole,Drinking Water - Spring,Drinking Water - River/Canal,Drinking Water - Tank/Pond/Lake,Drinking Water -  Other sources,Drinking water source - Within premises,Drinking water source - Near premises,Drinking water source - Away,Lighting - Electricity,Lighting - Kerosene,Lighting - Solar energy,Lighting - Other oil,Lighting - Any other,Lighting - No lighting,Number of households having latrine facility within the premises,Flush lutrince connected to Piped sewer system,Flush lutrince connected to Septic tank,Flush lutrince connected to Other system,Pit latrine With slab/ventilated improved pit,Pit Latrine - Without slab/  open pit,Night soil disposed into open drain,Night soil removed by human,Night soil serviced by animal,Number of households not having latrine facility within the premises,Alternative source -Public latrine,Alternative source - Open,bathing facility within the premises -Bathroom,bathing facility within the premises - Enclosure without roof,bathing facility within the premises - No,Waste water outlet connected to Closed drainage,Waste water outlet connected to Open drainage,Waste water outlet connected to No drainage,Type of Cooking Fuel - Fire-wood,Type of Cooking Fuel - Crop residue,Type of Cooking Fuel - Cowdung cake,"Type of Cooking Fuel - Coal,Lignite,Charcoal",Type of Cooking Fuel -  Kerosene,Type of Cooking Fuel -  LPG/PNG,Type of Cooking Fuel -  Electricity,Type of Cooking Fuel - Biogas,Type of Cooking Fuel - Any other,Type of Cooking Fuel - No cooking,Kitchen Facility Total,Kitchen Facility  - Cooking inside house,Kitchen Facility  - Cooking inside house - Has Kitchen,Kitchen Facility  - Cooking inside house - Does not have kitchen,Kitchen Facility  - Cooking outside house:,Kitchen Facility  - Cooking outside house: Has Kitchen,Kitchen Facility  - Cooking outside house: Does not have kitchen,Kitchen Facility  - Cooking outside house: No Cooking,Total number of households availing banking services,Availability of assets - Radio/Transistor,Availability of assets - Television,Availability of assets Computer/Laptop - With Internet,Availability of assets Computer/Laptop - Without Internet,Availability of assets Landline only,Availability of assets Mobile only,Availability of assets Both,HH with Bicycle,HH - Scooter/ Motorcycle/Moped,HH - Car/ Jeep/Van,"HH - Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",None of the assets specified in prev column,Type of structure of census house - Permanent,Type of structure of census house - Semi-Permanent,Type of structure of census house - Total Temporary,Type of structure of census house - Serviceable,Type of structure of census house - Non-Serviceable,Type of structure of census house - Unclassifiable,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons),Area (sq km)_y,Lakes #_y,Playgrounds #,Govt Schools #_y,Police Stations #,Fire stations #,BMTC TTMC #,Waste Quantity (TPD),Collection Vehicle details-Capacity (in cubic meters),Collection Vehicle details-Year of purchase,Collection Vehicle details-Nos of Vehicle,Collection Vehicle details-Frequency of trips /day,Number of Connections,Consumption in ML
1,,,,,,597,18193,1629.82,10.9,2,3.56,0.0,0.0,0.846,0.0,2016.0,8647,4,34783,18197,16586,2816,1430,1386,1097,549,548,29,100,74.7,23.8,1.5,98.9,73.9,23.5,1.5,1.1,0.8,0.3,0.0,0.6,0.6,1.2,1.4,0.5,5.6,18.1,71.9,0.2,0.6,0.1,2.5,0.0,2.1,16.0,0.3,57.9,20.4,0.1,0.8,0.0,0.3,0.3,42.6,55.9,0.2,3.2,38.1,31.9,18.2,5.4,2.3,0.9,3.8,11.8,22.0,32.0,15.8,11.9,2.7,34.5,63.9,1.6,13.4,76.4,8.5,1.4,0.2,0.1,78.5,6.2,0.8,0.9,0.0,8.9,0.0,0.0,0.0,4.6,74.3,17.5,8.2,98.1,1.3,0.1,0.4,0.0,0.2,96.9,51.2,24.1,0.4,15.3,0.6,5.2,0.0,0.0,3.1,1.3,1.8,93.7,3.9,2.4,54.2,43.4,2.3,6.1,0.9,0.0,0.0,16.2,75.8,0.2,0.1,0.1,0.6,100,97.7,94.5,3.2,1.7,0.2,1.5,0.6,71.7,48.5,85.8,13.5,17.6,11.1,73.8,10.3,29.3,41.3,13.7,18.5,1.6,95.9,3.2,0.6,0.1,0.5,0.2,19989,14794,34783,10.9,2,0,4,1,0,0,21.19,0.5,0.0,19,2,4240,116.97
2,,,,,,600,26858,1278.49,6.5,2,3.665,0.0,0.0,0.726,0.0,2016.0,9506,6,36602,19060,17542,3941,1998,1943,810,404,406,29,100,74.2,24.9,0.9,98.1,72.8,24.5,0.9,1.9,1.5,0.4,0.0,1.3,0.4,1.5,1.2,0.9,7.7,17.7,69.3,0.1,1.3,0.2,5.2,0.0,2.8,18.0,1.0,54.7,16.7,0.2,1.6,0.0,0.5,1.5,55.5,40.8,0.0,9.0,43.2,19.9,22.1,4.1,0.8,1.0,4.1,12.1,22.1,33.5,15.1,11.1,2.1,24.2,70.7,5.1,12.6,78.7,7.1,1.3,0.2,0.1,60.1,22.7,1.8,1.5,0.1,13.3,0.0,0.0,0.1,0.3,68.2,23.8,8.0,97.3,1.8,0.0,0.1,0.3,0.4,93.2,49.7,18.6,2.3,21.5,0.6,0.5,0.0,0.1,6.8,3.3,3.5,91.7,4.6,3.7,61.4,36.4,2.1,5.9,0.3,0.0,0.1,23.8,68.4,0.3,0.1,0.0,0.9,100,98.8,93.4,5.4,0.3,0.1,0.2,0.9,58.6,28.8,79.4,11.4,11.1,5.1,76.0,9.7,28.5,27.6,10.8,13.6,4.0,92.0,7.0,0.7,0.2,0.6,0.3,19737,16865,36602,6.5,2,0,6,0,0,0,22.3,0.5,0.0,15,2,461,25.69
3,,,,,,603,49276,2441.41,8.8,2,2.905,0.0,0.0,1.96,0.0,2016.0,14605,7,58129,30799,27330,6480,3359,3121,1859,963,896,29,100,75.4,23.0,1.6,99.5,75.1,22.8,1.6,0.5,0.2,0.2,0.0,0.4,1.4,0.6,0.4,0.2,5.9,19.3,71.7,0.0,0.1,0.9,3.0,0.1,6.4,10.5,0.5,57.2,21.1,0.1,1.8,0.0,0.1,0.4,37.6,59.8,0.2,16.1,42.6,25.7,12.1,2.5,0.6,0.3,3.7,11.6,22.2,33.3,15.5,12.0,1.7,37.0,61.0,2.0,14.0,76.5,8.2,1.1,0.2,0.0,47.5,22.6,0.5,0.5,0.2,28.3,0.0,0.0,0.0,0.3,79.4,15.7,4.9,97.1,2.5,0.1,0.0,0.0,0.3,95.2,46.5,16.9,1.3,29.8,0.5,0.1,0.0,0.1,4.8,0.7,4.1,95.2,2.8,2.0,54.7,41.2,4.1,9.0,0.3,0.1,0.1,14.2,74.7,0.2,0.8,0.1,0.6,100,98.5,95.2,3.2,1.0,0.7,0.3,0.6,74.3,39.2,83.2,19.2,21.8,8.1,69.6,16.5,33.9,49.3,19.1,28.7,2.6,95.1,3.7,1.1,0.2,0.9,0.1,34311,23818,58129,8.8,2,4,7,1,0,1,35.41,0.5,0.0,38,2,6231,180.05
4,,,,,,606,29147,2678.81,4.6,2,2.791,0.0,0.0,0.76,0.0,2016.0,10583,4,41986,21799,20187,6319,3199,3120,1065,549,516,29,100,79.6,19.3,1.2,99.3,79.1,19.1,1.2,0.7,0.5,0.2,0.0,1.4,0.4,1.3,0.6,0.2,6.4,11.8,78.0,0.1,0.2,0.1,4.5,0.0,4.6,10.8,0.2,60.3,19.1,0.1,1.8,0.0,1.3,0.2,29.4,66.2,1.0,13.2,35.4,34.5,11.9,3.6,1.0,0.5,3.7,11.4,22.9,31.9,15.9,12.1,2.0,43.3,54.2,2.6,13.3,74.7,10.1,1.7,0.2,0.0,72.9,12.3,0.8,0.3,0.3,13.0,0.1,0.0,0.0,0.3,82.8,14.5,2.7,97.5,2.0,0.1,0.0,0.0,0.2,94.9,89.2,3.5,1.2,0.9,0.0,0.0,0.0,0.0,5.1,1.9,3.2,94.6,3.3,2.1,91.8,5.3,2.9,8.1,0.3,0.1,0.0,13.1,77.4,0.2,0.1,0.0,0.8,100,98.5,95.7,2.9,0.6,0.3,0.3,0.8,79.2,56.4,87.1,23.6,21.1,11.8,62.9,18.0,35.6,52.2,23.6,33.0,2.7,93.8,5.4,0.6,0.4,0.2,0.2,24264,17722,41986,4.6,2,2,4,2,0,0,25.58,0.5,0.0,25,2,7744,373.52
5,,,,,,609,65239,4295.3,23.5,10,2.71,0.0,0.0,1.982,0.0,2016.0,12387,14,52025,27269,24756,6423,3216,3207,973,490,483,29,100,68.5,29.6,1.9,98.3,67.7,28.7,1.9,1.7,0.8,0.9,0.0,1.4,0.7,1.8,1.2,0.2,7.4,45.7,41.3,0.3,1.2,0.5,2.8,0.0,6.4,11.2,1.0,67.3,9.1,0.5,3.1,0.0,0.3,2.2,61.8,32.2,0.3,11.1,40.9,31.7,11.8,2.8,1.1,0.6,3.1,10.8,19.4,31.7,17.3,15.4,2.4,41.3,55.8,2.8,13.1,77.7,7.8,1.3,0.1,0.0,44.5,12.0,0.3,0.3,0.7,38.9,0.0,0.0,1.3,1.9,63.2,28.4,8.4,94.5,5.2,0.1,0.0,0.1,0.2,91.9,25.0,23.7,1.1,39.7,0.9,0.4,1.1,0.0,8.1,1.4,6.7,91.3,5.8,2.9,30.6,59.1,10.3,12.0,0.7,0.1,0.1,20.7,63.2,0.0,2.5,0.1,0.6,100,98.0,94.2,3.7,1.4,0.6,0.9,0.6,52.8,33.4,77.5,5.6,14.1,7.3,74.9,3.8,27.8,34.4,11.3,10.5,5.5,94.3,3.6,1.5,0.1,1.4,0.6,31580,20445,52025,23.5,10,1,14,1,0,1,26.87,0.5,0.0,26,2,3805,102.19
6,,,,,,612,53411,19690.16,10.0,1,2.285,0.0,0.0,2.04,0.0,2016.0,16470,9,71855,37680,34175,6894,3483,3411,1540,820,720,29,100,76.4,22.0,1.6,99.4,76.0,21.8,1.6,0.6,0.3,0.2,0.0,1.2,0.8,1.4,0.6,0.5,6.3,36.6,52.3,0.1,0.5,0.3,5.0,0.3,6.6,13.9,0.8,42.2,30.3,0.2,1.3,0.1,0.3,1.5,57.0,39.3,0.5,8.8,32.3,30.4,20.1,5.8,1.6,1.0,2.5,10.2,17.3,29.2,18.5,19.3,2.9,37.3,60.7,2.0,11.5,76.6,10.1,1.6,0.1,0.1,37.4,23.0,4.7,1.4,0.7,24.9,0.1,0.0,2.1,5.8,56.5,33.2,10.3,97.2,2.0,0.3,0.1,0.1,0.3,98.0,32.3,6.0,3.3,51.5,1.2,1.1,2.5,0.1,2.0,0.3,1.7,95.7,2.7,1.6,53.8,31.2,15.0,4.9,0.6,0.2,0.1,23.2,69.0,0.2,1.5,0.1,0.4,100,98.8,95.2,3.5,0.9,0.4,0.4,0.4,47.6,37.0,82.4,11.0,18.1,6.4,78.4,8.9,24.3,39.7,13.2,16.1,1.8,92.7,6.0,1.1,0.5,0.6,0.3,43413,28442,71855,10.0,1,1,9,1,0,0,37.11,0.5,0.0,36,2,3696,59.43
7,,,,,,615,48429,5910.6900000000005,10.0,2,2.485,0.0,0.0,2.586,0.0,2016.0,18691,8,72154,37923,34231,6152,3141,3011,2959,1562,1397,29,100,78.4,19.8,1.8,99.5,78.1,19.6,1.8,0.5,0.3,0.2,0.0,2.1,0.9,1.6,1.2,0.3,7.2,19.9,66.8,0.1,0.7,0.3,4.9,0.1,7.7,15.8,0.6,40.0,29.9,0.1,1.8,0.2,0.2,1.0,35.3,60.6,1.0,9.0,34.0,26.2,18.1,7.9,3.3,1.5,4.1,13.6,23.2,31.8,14.8,11.0,1.5,40.6,58.0,1.5,15.0,75.7,8.2,1.0,0.1,0.0,49.1,9.8,0.3,1.0,0.5,37.4,0.1,0.3,0.1,1.5,78.5,12.5,9.0,97.8,1.9,0.1,0.1,0.1,0.1,96.6,46.0,14.6,1.4,34.3,0.1,0.0,0.0,0.0,3.4,0.6,2.8,96.2,2.3,1.5,56.3,34.2,9.5,5.3,0.2,0.1,0.0,14.8,75.4,0.2,3.4,0.1,0.6,100,98.8,96.5,2.3,0.6,0.2,0.4,0.6,78.7,48.8,87.0,26.9,13.1,7.7,64.3,21.8,25.1,46.4,27.9,32.2,2.3,91.8,7.1,0.9,0.3,0.5,0.2,39999,32155,72154,10.0,2,4,8,1,1,1,37.27,0.5,0.0,26,2,9693,285.44
8,,,,,,618,24539,1868.85,3.8,1,2.965,0.0,0.0,2.37,0.0,2016.0,12036,3,47546,24954,22592,4789,2467,2322,1026,535,491,29,100,73.1,25.2,1.7,99.6,72.9,24.9,1.7,0.4,0.2,0.2,0.0,2.6,1.3,1.6,1.4,0.2,5.3,20.3,67.3,0.2,0.5,0.4,3.1,0.0,4.2,14.7,1.2,57.3,18.4,0.2,1.4,0.0,0.1,1.2,35.9,61.2,0.2,12.5,35.9,27.9,13.6,6.6,2.1,1.3,3.1,12.8,23.8,32.6,14.9,10.9,1.9,35.5,61.7,2.8,12.7,77.5,8.3,1.3,0.2,0.0,52.7,16.8,0.3,0.7,0.6,24.9,0.0,0.0,0.1,3.9,69.6,25.0,5.5,96.9,2.4,0.2,0.2,0.1,0.1,96.4,63.6,14.5,1.6,16.8,0.0,0.0,0.0,0.0,3.6,0.5,3.1,97.4,1.4,1.3,70.2,27.5,2.3,4.0,0.4,0.1,0.1,15.1,79.4,0.1,0.3,0.0,0.5,100,98.6,97.1,1.5,0.9,0.3,0.6,0.5,72.1,39.5,86.9,18.3,13.5,7.5,69.3,17.9,27.4,50.1,22.0,24.7,1.8,93.0,5.5,1.2,0.5,0.7,0.3,26856,20690,47546,3.8,1,5,3,0,0,0,24.56,0.5,0.0,15,2,5352,129.2
9,,,,,,621,43750,2691.1099999999997,9.9,2,2.4,0.0,0.0,0.752,0.0,2016.0,14448,2,57195,29382,27813,4913,2507,2406,1143,592,551,29,100,83.1,15.0,1.9,99.4,82.6,14.8,1.9,0.6,0.5,0.2,0.0,1.5,0.7,0.9,0.4,0.2,3.6,11.7,81.0,0.0,0.5,0.2,1.2,0.0,5.3,24.1,0.2,51.7,16.6,0.1,1.3,0.0,0.1,0.1,22.4,74.9,1.3,3.0,15.1,25.1,28.2,17.4,6.2,5.1,2.7,12.7,24.9,31.3,15.5,11.2,1.7,48.2,49.7,2.1,12.1,75.7,10.5,1.5,0.2,0.0,43.6,8.0,0.1,0.0,0.1,47.7,0.0,0.0,0.0,0.4,88.6,10.1,1.2,98.2,1.3,0.0,0.0,0.0,0.4,96.8,62.0,18.1,0.2,15.4,0.0,1.1,0.0,0.0,3.2,0.3,2.9,98.0,1.2,0.8,68.3,21.0,10.7,4.3,0.7,0.0,0.0,6.8,87.3,0.1,0.2,0.1,0.3,100,98.9,97.5,1.4,0.8,0.4,0.4,0.3,83.2,64.2,92.5,32.5,19.8,9.5,56.6,30.2,28.9,63.3,33.4,44.0,1.3,96.5,2.5,0.8,0.2,0.6,0.1,33260,23935,57195,9.9,2,6,2,2,0,0,29.54,0.5,0.0,32,2,12957,383.3
10,,,,,,624,15695,1459.0,4.2,1,1.83,0.0,0.0,0.63,0.0,2016.0,8379,1,36396,20076,16320,3669,1877,1792,660,328,332,29,100,87.0,12.3,0.7,99.5,86.6,12.2,0.7,0.5,0.4,0.1,0.0,0.3,0.2,0.5,0.8,0.2,2.6,8.2,87.3,0.0,0.1,0.1,5.0,0.1,1.3,44.9,0.1,22.4,26.0,0.0,1.1,0.0,0.1,0.6,27.0,70.3,0.8,7.4,25.0,34.9,21.4,8.3,1.9,1.2,3.3,11.3,23.7,33.7,15.8,10.4,1.7,36.9,61.4,1.7,14.1,73.0,10.9,1.7,0.2,0.0,45.3,24.9,0.6,0.1,0.1,28.6,0.0,0.1,0.0,0.3,93.4,6.1,0.5,99.1,0.7,0.0,0.1,0.0,0.1,98.9,45.1,17.0,0.0,36.4,0.3,0.0,0.0,0.0,1.1,0.1,0.9,98.4,1.3,0.3,61.1,38.4,0.5,4.9,0.1,0.0,0.0,6.8,87.7,0.1,0.1,0.0,0.2,100,99.1,98.4,0.7,0.6,0.2,0.4,0.2,83.6,62.0,93.4,25.6,23.5,14.1,54.7,28.4,33.1,64.3,27.7,40.6,0.7,94.4,5.4,0.2,0.0,0.1,0.0,20118,16278,36396,4.2,1,1,1,0,0,0,18.8,0.5,0.0,15,2,1830,27.82
